COUNTRY,GSA,start_y,end_y,SPECIES,A3_ASFIS,SEX,A,B,U_FLAG,U_FLAG_w,R2,SOURCE_INFO
GRC,,,,Aetomylaeus bovinus,MPO,C,0.0033,3.04,cm,g,0.7,Tunisia
GRC,,,,Alopias vulpinus,ALV,C,0.006,2.824,cm,g,,
GRC,,,,Anguilla anguilla,ELE,C,0.0000376,2.55391,mm,g,,
GRC,,,,Aristaeomorpha foliacea,ARS,C,0.709,2.451,cm,g,,
GRC,,,,Aristeus antennatus,ARA,C,1.2974,2.055,cm,g,,Fishbase
GRC,,,,Arnoglossus laterna,MSF,C,0.015,2.747,cm,g,0.99,"Gökceada Island (northern Aegean Sea), 2004-2006"
GRC,,,,Arnoglossus rueppelli,QFE,C,0.0000048,3.11101,mm,g,,
GRC,,,,Arnoglossus thori,RNH,C,0.006,3.151,cm,g,0.93,North Aegean Sea (Thracian Sea) (39°35’-40°54’N; 24°22’-
GRC,,,,Belone belone,GAR,C,0.002,3.36,cm,g,,"suitable for use in the Mediterranean and adjacent waters, unless local-specific values are available."
GRC,,,,Boops boops,BOG,C,0.0000051,3.13268,mm,g,,
GRC,,,,Callionymus lyra,LYY,C,0.0087,2.832,cm,g,0.97,"Turkey, N=87, Northern sea of Marmara, 2006-2007 (Nov-March)"
GRC,,,,Capros aper,BOC,C,0.0232,2.83,cm,g,0.98,"Turkey,   North Aegean Sea, 2003 (March; July)  "
GRC,,,,Caranx rhonchus,HMY,C,0.0000079,3.03507,mm,g,,
GRC,,,,Carcharhinus spp.,CWZ,C,0.0009,3.3423,cm,g,,
GRC,,,,Chelidonichthys cuculus,GUR,C,0.00787,3.118,cm,g,0.98,Saronikos
GRC,,,,Chelidonichthys lastoviza,CTZ,C,0.0000719,2.65151,mm,g,,
GRC,,,,Chelidonichthys lucerna,GUU,C,0.00985,3.011,cm,g,,Fishbase
GRC,,,,Chelon auratus,MGA,C,0.0125,3,cm,g,,"suitable for use in the Mediterranean and adjacent waters, unless local-specific values are available."
